     1→     1→@import "tailwindcss";
     2→     2→@import "tw-animate-css";
     3→     3→
     4→     4→@custom-variant dark (&:is(.dark *));
     5→     5→@custom-variant xs (&:where(@media (min-width: 400px)));
     6→     6→
     7→     7→@theme {
   173→   173→  --sidebar-accent: #1a1814;
   174→   174→  --sidebar-accent-foreground: #e8e4dc;
   175→   175→  --sidebar-border: rgba(255, 255, 255, 0.06);
   176→   176→  --sidebar-ring: #d4a853;
   177→   177→
   178→   178→  /* Dark palette — INVERTED for dark mode (text becomes light, surfaces become dark) */
   179→   179→  --color-dark-50: #1c1c1f;
   180→   180→  --color-dark-100: #27272a;
   181→   181→  --color-dark-200: #3f3f46;
   182→   182→  --color-dark-300: #52525b;
   183→   183→  --color-dark-400: #71717a;
   184→   184→  --color-dark-500: #a1a1aa;
   185→   185→  --color-dark-600: #b4b4bc;
   186→   186→  --color-dark-700: #c8c8d0;
   187→   187→  --color-dark-800: #dcdce4;
   188→   188→  --color-dark-900: #111111;
   189→   189→  --color-dark-950: #0d0d0d;
   190→   190→
   191→   191→  /* Colored icon surfaces for dark mode */
   192→   192→  --color-gold-50: #29200f;
   193→   193→  --color-gold-100: #362a15;
   194→   194→  --color-gold-200: #4a3a1e;
   195→   195→  --color-sky-50: #0c1a2e;
   196→   196→  --color-sky-100: #122240;
   197→   197→  --color-emerald-50: #07201a;
   198→   198→  --color-emerald-100: #0a2e22;
   199→   199→  --color-rose-50: #2a0f0f;
   200→   200→  --color-rose-100: #3a1515;
   201→   201→  --color-amber-50: #2a1c0a;
   202→   202→  --color-amber-100: #3a2810;
   203→   203→  --color-violet-50: #1a0f2e;
   204→   204→  --color-violet-100: #251840;
   205→   205→}
   206→   206→
   207→   207→@layer base {
   208→   208→  * {
   209→   209→    @apply border-border outline-ring/50;
   210→   210→  }
   211→   211→  html,
   212→   212→  body {
   213→   213→    @apply bg-background text-foreground overflow-x-hidden;
   214→   214→    font-feature-settings: "kern", "liga", "calt";
   215→   215→  }
   216→   216→  *, *::before, *::after {
   217→   217→    box-sizing: border-box;
   218→   218→  }
   219→   219→  /* منع التمرير الأفقي على جميع المستويات */
   220→   220→  #__next, main, [dir="rtl"] > div, [dir="rtl"] > div > div {
   221→   221→    overflow-x: hidden;
   222→   222→  }
   223→   223→  .font-amiri {
   224→   224→    font-family: var(--font-amiri), serif;
   225→   225→  }
   226→   226→  .font-cairo {
   227→   227→    font-family: var(--font-cairo), sans-serif;
   228→   228→  }
   229→   229→  /* مساحة آمنة للشريط السفلي على الأجهزة ذات النوتش (iPhone X+) */
   230→   230→  .safe-area-pb {
   231→   231→    padding-bottom: env(safe-area-inset-bottom, 0px);
   232→   232→  }
   233→   233→  .safe-area-pt {
   234→   234→    padding-top: env(safe-area-inset-top, 0px);
   235→   235→  }
   236→   236→  /* إخفاء العناصر عند الطباعة */
   237→   237→  .no-print {
   238→   238→    @media print {
   239→   239→      display: none !important;
   240→   240→    }
   241→   241→  }
   242→   242→}
   243→   243→
   244→   244→/* ===== ضبط حجم الخطوط على الهاتف ===== */
   245→   245→@media (max-width: 640px) {
   246→   246→  html {
   247→   247→    font-size: 15px;
   248→   248→  }
   249→   249→  .text-xs {
   250→   250→    font-size: 0.8rem;
   251→   251→    line-height: 1.4;
   252→   252→  }
   253→   253→}
   254→   254→
   255→   255→/* Smooth scrolling */
   256→   256→html {
   257→   257→  scroll-behavior: smooth;
   258→   258→}
   259→   259→
   260→   260→/* ==========================================================================
   261→   261→   SCROLLBAR — Gold-themed
   262→   262→   ========================================================================== */
   263→   263→.custom-scroll::-webkit-scrollbar {
   264→   264→  width: 6px;
   265→   265→  height: 6px;
   266→   266→}
   267→   267→.custom-scroll::-webkit-scrollbar-track {
   268→   268→  background: transparent;
   269→   269→}
   270→   270→.custom-scroll::-webkit-scrollbar-thumb {
   271→   271→  background: rgba(212, 168, 83, 0.25);
   272→   272→  border-radius: 999px;
   273→   273→}
   274→   274→.custom-scroll::-webkit-scrollbar-thumb:hover {
   275→   275→  background: rgba(212, 168, 83, 0.45);
   276→   276→}
   277→   277→
   278→   278→/* Global scrollbar — light mode defaults */
   279→   279→:root *::-webkit-scrollbar {
   280→   280→  width: 6px;
   281→   281→  height: 6px;
   282→   282→}
   283→   283→:root *::-webkit-scrollbar-track {
   284→   284→  background: transparent;
   285→   285→}
   286→   286→:root *::-webkit-scrollbar-thumb {
   287→   287→  background: rgba(0, 0, 0, 0.12);
   288→   288→  border-radius: 999px;
   289→   289→}
   290→   290→:root *::-webkit-scrollbar-thumb:hover {
   291→   291→  background: rgba(0, 0, 0, 0.2);
   292→   292→}
   293→   293→.dark *::-webkit-scrollbar-thumb {
   294→   294→  background: rgba(255, 255, 255, 0.1);
   295→   295→}
   296→   296→.dark *::-webkit-scrollbar-thumb:hover {
   297→   297→  background: rgba(255, 255, 255, 0.2);
   298→   298→}
   299→   299→
   300→   300→/* ==========================================================================
   301→   301→   GOLD GRADIENT UTILITIES
   302→   302→   ========================================================================== */
   303→   303→.gold-gradient {
   304→   304→  background: linear-gradient(135deg, #f0d58a 0%, #d4a853 50%, #a88850 100%);
   305→   305→}
   306→   306→
   307→   307→.gold-gradient-text {
   308→   308→  background: linear-gradient(135deg, #ffe098 0%, #d4a853 50%, #a88850 100%);
   309→   309→  -webkit-background-clip: text;
   310→   310→  background-clip: text;
   311→   311→  -webkit-text-fill-color: transparent;
   312→   312→}
   313→   313→
   314→   314→.gold-border-gradient {
   315→   315→  border-image: linear-gradient(135deg, #f0d58a, #d4a853, #a88850) 1;
   316→   316→}
   317→   317→
   318→   318→.gold-glow {
   319→   319→  box-shadow: 0 0 20px rgba(212, 168, 83, 0.15), 0 0 60px rgba(212, 168, 83, 0.05);
   320→   320→}
   321→   321→
   322→   322→.gold-glow-sm {
   323→   323→  box-shadow: 0 0 8px rgba(212, 168, 83, 0.2);
   324→   324→}
   325→   325→
   326→   326→/* Premium card surface */
   327→   327→.premium-card {
   328→   328→  background: var(--card);
   329→   329→  border: 1px solid var(--border);
   330→   330→}
   331→   331→.dark .premium-card {
   332→   332→  background: linear-gradient(145deg, #141416 0%, #1a1a1e 100%);
   333→   333→  border: 1px solid rgba(212, 168, 83, 0.12);
   334→   334→}
   335→   335→
   336→   336→.premium-card-hover:hover {
   337→   337→  border-color: rgba(212, 168, 83, 0.2);
   338→   338→  box-shadow: 0 4px 24px rgba(212, 168, 83, 0.08);
   339→   339→}
   340→   340→
   341→   341→/* ==========================================================================
   342→   342→   ANIMATIONS
   343→   343→   ========================================================================== */
   344→   344→
   345→   345→/* أنيميشن النبض للعاجل */
   346→   346→@keyframes pulse-urgent {
   347→   347→  0%, 100% { opacity: 1; }
   348→   348→  50% { opacity: 0.6; }
   349→   349→}
   350→   350→.urgent-pulse {
   351→   351→  animation: pulse-urgent 1.5s ease-in-out infinite;
   352→   352→}
   353→   353→
   354→   354→/* Upload Drop Zone Animations */
   355→   355→@keyframes border-dance {
   356→   356→  0% { border-color: #f0d58a; }
   357→   357→  25% { border-color: #d4a853; }
   358→   358→  50% { border-color: #b8923a; }
   359→   359→  75% { border-color: #d4a853; }
   360→   360→  100% { border-color: #f0d58a; }
   361→   361→}
   362→   362→.animate-border-dance {
   363→   363→  animation: border-dance 3s ease-in-out infinite;
   364→   364→}
   365→   365→
   366→   366→@keyframes upload-icon-pulse {
   367→   367→  0%, 100% { transform: scale(1); box-shadow: 0 0 0 0 rgba(212, 168, 83, 0.3); }
   368→   368→  50% { transform: scale(1.05); box-shadow: 0 0 0 12px rgba(212, 168, 83, 0); }
   369→   369→}
   370→   370→.animate-upload-pulse {
   371→   371→  animation: upload-icon-pulse 2.5s ease-in-out infinite;
   372→   372→}
   373→   373→
   374→   374→@keyframes success-bounce {
   375→   375→  0% { transform: scale(0); opacity: 0; }
   376→   376→  50% { transform: scale(1.2); }
   377→   377→  70% { transform: scale(0.9); }
   378→   378→  100% { transform: scale(1); opacity: 1; }
   379→   379→}
   380→   380→.animate-success-bounce {
   381→   381→  animation: success-bounce 0.6s cubic-bezier(0.34, 1.56, 0.64, 1) forwards;
   382→   382→}
   383→   383→
   384→   384→@keyframes shimmer {
   385→   385→  0% { background-position: -200% 0; }
   386→   386→  100% { background-position: 200% 0; }
   387→   387→}
   388→   388→.animate-shimmer {
   389→   389→  background: linear-gradient(90deg, transparent 25%, rgba(212, 168, 83, 0.3) 50%, transparent 75%);
   390→   390→  background-size: 200% 100%;
   391→   391→  animation: shimmer 1.5s infinite;
   392→   392→}
   393→   393→
   394→   394→/* Card hover lift animation */
   395→   395→@keyframes card-lift {
   396→   396→  0%, 100% { transform: translateY(0); }
   397→   397→  50% { transform: translateY(-2px); }
   398→   398→}
   399→   399→.animate-card-lift:hover {
   400→   400→  animation: card-lift 0.3s ease-in-out;
   401→   401→}
   402→   402→
   403→   403→@keyframes pulse-slow {
   404→   404→  0%, 100% { opacity: 1; }
   405→   405→  50% { opacity: 0.75; }
   406→   406→}
   407→   407→.animate-pulse-slow {
   408→   408→  animation: pulse-slow 3s ease-in-out infinite;
   409→   409→}
   410→   410→
   411→   411→/* Introduce progress bar animation */
   412→   412→@keyframes introProgress {
   413→   413→  0% { width: 0%; }
   414→   414→  100% { width: 100%; }
   415→   415→}
   416→   416→.animate-intro-progress {
   417→   417→  animation: introProgress 3s ease-out forwards;
   418→   418→}
   419→   419→
   420→   420→/* تذييل متحرك */
   421→   421→.footer-collapse {
   422→   422→  max-height: 0;
   423→   423→  overflow: hidden;
   424→   424→  transition: max-height 0.5s cubic-bezier(0.4, 0, 0.2, 1);
   425→   425→}
   426→   426→@media (min-width: 768px) {
   427→   427→  .footer-collapse {
   428→   428→    max-height: none !important;
   429→   429→    overflow: visible;
   430→   430→  }
   431→   431→}
   432→   432→
   433→   433→/* أنيميشن العوم والتوهّج */
   434→   434→@keyframes float {
   435→   435→  0%, 100% { transform: translateY(0px); }
   436→   436→  50% { transform: translateY(-6px); }
   437→   437→}
   438→   438→.animate-float {
   439→   439→  animation: float 3s ease-in-out infinite;
   440→   440→}
   441→   441→
   442→   442→@keyframes fadeIn {
   443→   443→  0% { opacity: 0; transform: translateY(4px); }
   444→   444→  100% { opacity: 1; transform: translateY(0); }
   445→   445→}
   446→   446→.animate-fade-in {
   447→   447→  animation: fadeIn 1.2s ease-out;
   448→   448→}
   449→   449→
   450→   450→@keyframes glow-pulse {
   451→   451→  0%, 100% { box-shadow: 0 0 8px rgba(212, 168, 83, 0.2); }
   452→   452→  50% { box-shadow: 0 0 20px rgba(212, 168, 83, 0.4); }
   453→   453→}
   454→   454→.animate-glow-pulse {
   455→   455→  animation: glow-pulse 2s ease-in-out infinite;
   456→   456→}
   457→   457→
   458→   458→@keyframes slide-up {
   459→   459→  from { opacity: 0; transform: translateY(8px); }
   460→   460→  to { opacity: 1; transform: translateY(0); }
   461→   461→}
   462→   462→.animate-slide-up {
   463→   463→  animation: slide-up 0.4s ease-out forwards;
   464→   464→}
   465→   465→
   466→   466→@keyframes glow-pulse-gold {
   467→   467→  0%, 100% { box-shadow: 0 0 5px rgba(212, 168, 83, 0.3); }
   468→   468→  50% { box-shadow: 0 0 15px rgba(212, 168, 83, 0.6); }
   469→   469→}
   470→   470→.animate-glow-pulse-amber {
   471→   471→  animation: glow-pulse-gold 2s ease-in-out infinite;
   472→   472→}
   473→   473→
   474→   474→@keyframes gradient-border-spin {
   475→   475→  0% { --border-angle: 0deg; }
   476→   476→  100% { --border-angle: 360deg; }
   477→   477→}
   478→   478→
   479→   479→/* Gradient border animation wrapper — Gold themed */
   480→   480→.gradient-border-animated {
   481→   481→  position: relative;
   482→   482→  border-radius: 1rem;
   483→   483→  overflow: hidden;
   484→   484→}
   485→   485→.gradient-border-animated::before {
   486→   486→  content: '';
   487→   487→  position: absolute;
   488→   488→  inset: 0;
   489→   489→  padding: 2px;
   490→   490→  border-radius: inherit;
   491→   491→  background: conic-gradient(
   492→   492→    from var(--border-angle, 0deg),
   493→   493→    #f0d58a,
   494→   494→    #d4a853,
   495→   495→    #a88850,
   496→   496→    #d4a853,
   497→   497→    #f0d58a
   498→   498→  );
   499→   499→  -webkit-mask: linear-gradient(#fff 0 0) content-box, linear-gradient(#fff 0 0);
   500→   500→  -webkit-mask-composite: xor;
   501→   501→  mask-composite: exclude;
   502→   502→  animation: gradient-border-spin 4s linear infinite;
   503→   503→  pointer-events: none;
   504→   504→}
   505→   505→@property --border-angle {
   506→   506→  syntax: '<angle>';
   507→   507→  initial-value: 0deg;
   508→   508→  inherits: false;
   509→   509→}
   510→   510→
   511→   511→/* Active nav glow — Gold */
   512→   512→.nav-active-glow {
   513→   513→  text-shadow: 0 0 8px rgba(212, 168, 83, 0.5), 0 0 16px rgba(212, 168, 83, 0.2);
   514→   514→}
   515→   515→
   516→   516→/* Confetti animation for celebration */
   517→   517→@keyframes confetti {
   518→   518→  0% { opacity: 1; transform: translateY(0) rotate(0deg) scale(1); }
   519→   519→  100% { opacity: 0; transform: translateY(-120px) rotate(720deg) scale(0.3); }
   520→   520→}
   521→   521→@media (prefers-reduced-motion: no-preference) {
   522→   522→  .animate-confetti {
   523→   523→    animation: confetti 1.8s ease-out forwards;
   524→   524→  }
   525→   525→}
   526→   526→
   527→   527→/* Slide-up bar animation */
   528→   528→@keyframes slide-up-bar {
   529→   529→  from { opacity: 0; transform: translateY(100%); }
   530→   530→  to { opacity: 1; transform: translateY(0); }
   531→   531→}
   532→   532→@media (prefers-reduced-motion: no-preference) {
   533→   533→  .animate-slide-up-bar {
   534→   534→    animation: slide-up-bar 0.4s cubic-bezier(0.16, 1, 0.3, 1) forwards;
   535→   535→  }
   536→   536→}
   537→   537→
   538→   538→/* Typing dots indicator */
   539→   539→@keyframes typing-dots {
   540→   540→  0%, 60%, 100% { opacity: 0.3; transform: translateY(0); }
   541→   541→  30% { opacity: 1; transform: translateY(-4px); }
   542→   542→}
   543→   543→@media (prefers-reduced-motion: no-preference) {
   544→   544→  .typing-dot {
   545→   545→    animation: typing-dots 1.4s ease-in-out infinite;
   546→   546→  }
   547→   547→  .typing-dot:nth-child(2) { animation-delay: 0.2s; }
   548→   548→  .typing-dot:nth-child(3) { animation-delay: 0.4s; }
   549→   549→}
   550→   550→
   551→   551→/* Pulse glow effect for icons — Gold */
   552→   552→@keyframes pulse-glow {
   553→   553→  0%, 100% { box-shadow: 0 0 8px rgba(212, 168, 83, 0.3), 0 0 0 0 rgba(212, 168, 83, 0.4); }
   554→   554→  50% { box-shadow: 0 0 20px rgba(212, 168, 83, 0.6), 0 0 0 12px rgba(212, 168, 83, 0); }
   555→   555→}
   556→   556→@media (prefers-reduced-motion: no-preference) {
   557→   557→  .animate-pulse-glow {
   558→   558→    animation: pulse-glow 2s ease-in-out infinite;
   559→   559→  }
   560→   560→}
   561→   561→
   562→   562→/* Shimmer text effect — Gold */
   563→   563→@keyframes text-shimmer {
   564→   564→  0% { background-position: -200% center; }
   565→   565→  100% { background-position: 200% center; }
   566→   566→}
   567→   567→@media (prefers-reduced-motion: no-preference) {
   568→   568→  .animate-text-shimmer {
   569→   569→    background: linear-gradient(90deg, currentColor 0%, #d4a853 25%, currentColor 50%, #f0d58a 75%, currentColor 100%);
   570→   570→    background-size: 200% auto;
   571→   571→    -webkit-background-clip: text;
   572→   572→    background-clip: text;
   573→   573→    -webkit-text-fill-color: transparent;
   574→   574→    animation: text-shimmer 3s linear infinite;
   575→   575→  }
   576→   576→}
   577→   577→
   578→   578→/* Float with subtle rotation */
   579→   579→@keyframes float-gentle {
   580→   580→  0%, 100% { transform: translateY(0) rotate(0deg); }
   581→   581→  25% { transform: translateY(-4px) rotate(0.5deg); }
   582→   582→  75% { transform: translateY(-2px) rotate(-0.5deg); }
   583→   583→}
   584→   584→@media (prefers-reduced-motion: no-preference) {
   585→   585→  .animate-float-gentle {
   586→   586→    animation: float-gentle 4s ease-in-out infinite;
   587→   587→  }
   588→   588→}
   589→   589→
   590→   590→/* Confetti scattered dots */
   591→   591→@keyframes confetti-scatter {
   592→   592→  0% { opacity: 1; transform: translate(0, 0) rotate(0deg); }
   593→   593→  100% { opacity: 0; transform: translate(var(--x, 40px), var(--y, -80px)) rotate(var(--r, 360deg)); }
   594→   594→}
   595→   595→@media (prefers-reduced-motion: no-preference) {
   596→   596→  .confetti-dot {
   597→   597→    animation: confetti-scatter var(--dur, 1.5s) ease-out forwards;
   598→   598→    animation-delay: var(--delay, 0s);
   599→   599→  }
   600→   600→}
   601→   601→
   602→   602→/* ==========================================================================
   603→   603→   PRINT STYLES
   604→   604→   ========================================================================== */
   605→   605→@media print {
   606→   606→  body * {
   607→   607→    visibility: hidden !important;
   608→   608→  }
   609→   609→  #print-content,
   610→   610→  #print-content *,
   611→   611→  #direct-print-area,
   612→   612→  #direct-print-area * {
   613→   613→    visibility: visible !important;
   614→   614→  }
   615→   615→  #print-content,
   616→   616→  #direct-print-area {
   617→   617→    position: absolute !important;
   618→   618→    left: 0 !important;
   619→   619→    top: 0 !important;
   620→   620→    width: 100% !important;
   621→   621→    margin: 0 !important;
   622→   622→    padding: 0 !important;
   623→   623→  }
   624→   624→  /* إخفاء عناصر واجهة المستخدم أثناء الطباعة */
   625→   625→  .print-hide {
   626→   626→    display: none !important;
   627→   627→  }
   628→   628→
   629→   629→  .print-job-ticket {
   630→   630→    background: white !important;
   631→   631→    color: #000 !important;
   632→   632→    font-family: 'Segoe UI', Tahoma, Arial, sans-serif !important;
   633→   633→    font-size: 12pt !important;
   634→   634→    line-height: 1.5 !important;
   635→   635→    padding: 16px !important;
   636→   636→    direction: rtl !important;
   637→   637→  }
   638→   638→
   639→   639→  .pjt-header {
   640→   640→    display: flex !important;
   641→   641→    align-items: center !important;
   642→   642→    gap: 12px !important;
   643→   643→    margin-bottom: 12px !important;
   644→   644→  }
   645→   645→  .pjt-logo {
   646→   646→    width: 48px !important;
   647→   647→    height: 48px !important;
   648→   648→    object-fit: contain !important;
   649→   649→  }
   650→   650→  .pjt-shop-info {
   651→   651→    flex: 1 !important;
   652→   652→  }
   653→   653→  .pjt-shop-name {
   654→   654→    font-size: 18pt !important;
   655→   655→    font-weight: 700 !important;
   656→   656→    margin: 0 !important;
   657→   657→    color: #000 !important;
   658→   658→  }
   659→   659→  .pjt-shop-phone,
   660→   660→  .pjt-shop-address {
   661→   661→    font-size: 9pt !important;
   662→   662→    color: #444 !important;
   663→   663→    margin: 1px 0 !important;
   664→   664→  }
   665→   665→
   666→   666→  .pjt-divider {
   667→   667→    border: none !important;
   668→   668→    border-top: 1.5px dashed #999 !important;
   669→   669→    margin: 10px 0 !important;
   670→   670→  }
   671→   671→
   672→   672→  .pjt-ref-row {
   673→   673→    display: flex !important;
   674→   674→    justify-content: space-between !important;
   675→   675→    align-items: center !important;
   676→   676→  }
   677→   677→  .pjt-ref-box {
   678→   678→    text-align: right !important;
   679→   679→  }
   680→   680→  .pjt-ref-label {
   681→   681→    font-size: 9pt !important;
   682→   682→    color: #666 !important;
   683→   683→  }
   684→   684→  .pjt-ref-value {
   685→   685→    font-size: 16pt !important;
   686→   686→    font-weight: 800 !important;
   687→   687→    font-family: monospace !important;
   688→   688→    letter-spacing: 1px !important;
   689→   689→    color: #000 !important;
   690→   690→  }
   691→   691→  .pjt-status-badge {
   692→   692→    font-size: 10pt !important;
   693→   693→    padding: 3px 12px !important;
   694→   694→    border: 1.5px solid #999 !important;
   695→   695→    border-radius: 20px !important;
   696→   696→    font-weight: 600 !important;
   697→   697→  }
   698→   698→
   699→   699→  .pjt-section {
   700→   700→    margin: 10px 0 !important;
   701→   701→  }
   702→   702→  .pjt-section-title {
   703→   703→    font-size: 11pt !important;
   704→   704→    font-weight: 700 !important;
   705→   705→    color: #000 !important;
   706→   706→    margin: 0 0 6px 0 !important;
   707→   707→    border-right: 3px solid #b8923a !important;
   708→   708→    padding-right: 8px !important;
   709→   709→  }
   710→   710→
   711→   711→  .pjt-grid-2 {
   712→   712→    display: grid !important;
   713→   713→    grid-template-columns: 1fr 1fr !important;
   714→   714→    gap: 4px 16px !important;
   715→   715→  }
   716→   716→  .pjt-grid-3 {
   717→   717→    display: grid !important;
   718→   718→    grid-template-columns: 1fr 1fr 1fr !important;
   719→   719→    gap: 4px 12px !important;
   720→   720→  }
